date,Rub21,ediyes,Luis36995,dannykath,RichRico
2011-08,69,0,0,0,0
2011-09,189,0,0,0,0
2011-10,36,0,0,0,0
2012-01,8,0,0,0,0
2012-02,3,0,0,0,0
2012-03,423,0,0,0,0
2012-04,110,0,0,0,0
2012-05,66,0,0,0,0
2012-06,280,0,0,0,0
2012-07,532,0,0,0,0
2012-08,452,0,0,0,0
2012-09,754,0,0,0,0
2012-10,1016,0,0,0,0
2012-11,580,0,0,0,0
2012-12,17,0,0,0,0
2013-01,70,0,0,0,0
2013-02,580,4,0,0,0
2013-03,799,3,0,0,0
2013-04,148,1306,0,0,0
2013-05,1091,855,0,0,0
2013-06,1594,0,0,0,0
2013-07,1679,0,0,0,0
2013-08,1349,0,0,0,0
2013-09,1011,0,0,0,0
2013-10,1549,0,0,0,0
2013-11,547,0,0,0,0
2013-12,384,0,782,0,0
2014-01,701,1106,1995,0,0
2014-02,682,474,282,0,0
2014-03,568,848,465,0,0
2014-04,42,975,582,0,0
2014-05,78,1455,520,0,0
2014-06,694,879,371,0,0
2014-07,3108,3589,4091,0,0
2014-08,636,3626,2150,1826,1880
2014-09,288,1894,216,1754,3217
