date,Rub21,ediyes,Luis36995,dannykath,RichRico
2011-08,11145,0,0,0,0
2011-09,12274,0,0,0,0
2011-10,538,0,0,0,0
2012-01,48,0,0,0,0
2012-02,10,0,0,0,0
2012-03,218469,0,0,0,0
2012-04,187936,0,0,0,0
2012-05,122416,0,0,0,0
2012-06,170591,0,0,0,0
2012-07,204978,0,0,0,0
2012-08,144725,0,0,0,0
2012-09,203517,0,0,0,0
2012-10,113035,0,0,0,0
2012-11,50841,0,0,0,0
2012-12,5205,0,0,0,0
2013-01,17040,0,0,0,0
2013-02,167338,295,0,0,0
2013-03,123992,53,0,0,0
2013-04,32927,0,0,0,0
2013-05,272112,0,0,0,0
2013-06,301422,0,0,0,0
2013-07,267637,0,0,0,0
2013-08,291223,0,0,0,0
2013-09,187944,0,0,0,0
2013-10,273702,0,0,0,0
2013-11,129161,201748,0,0,0
2013-12,52017, 160245,13293,0,0
2014-01,119008,196844,64694,0,0
2014-02,207972,153093,88394,0,0
2014-03,69020,181156,148310,0,0
2014-04,11295,194561,192982,0,0
2014-05,38454,106173,228157,0,0
2014-06,311463,213692,188663,0,0
2014-07,99155,150458,89733,0,0
2014-08,81376,111666,79601,20920,25925
2014-09,38114,51779,6484,25259,37259
